team,type,max_p,min_p,std_p,chi2,p_value,uniform_5%
杭州,city,0.0671,0.0585,0.0023845859179320835,14.556800000000017,0.4837868960981019,True
建德,county,0.0665,0.0574,0.0023430749027719966,14.054400000000008,0.5214073662172404,True
桐庐,county,0.0693,0.0565,0.00280401497856199,20.127999999999993,0.1670772535132502,True
淳安,county,0.0665,0.0581,0.002227947485916129,12.7072,0.6249021634605809,True
宁波,city,0.0651,0.056,0.0020811655388267413,11.088,0.7463316076587544,True
余姚,county,0.0671,0.0584,0.0027941904015295737,19.98720000000001,0.1724242630886501,True
慈溪,county,0.0693,0.0583,0.00277398630133604,19.699199999999998,0.18377788777553572,True
象山,county,0.0685,0.0583,0.002806020313540157,20.156800000000004,0.1659998180696548,True
宁海,county,0.066,0.0596,0.0018927493230747711,9.171199999999994,0.8683970420365463,True
温州,city,0.0695,0.0584,0.0029291637031753624,21.96480000000003,0.10873021807738481,True
瑞安,county,0.069,0.059,0.002347605162713697,14.108800000000024,0.5172940047193753,True
乐清,county,0.0661,0.0577,0.0022646743695286533,13.129600000000014,0.5922883016431757,True
龙港,county,0.0666,0.0583,0.002264674369528653,13.129600000000007,0.5922883016431761,True
永嘉,county,0.0686,0.0581,0.002652357441974968,18.0096,0.26216119587409015,True
平阳,county,0.0669,0.056,0.002903446228191594,21.5808,0.11927613953654281,True
苍南,county,0.068,0.0565,0.0028774989139876326,21.1968,0.13065846365621736,True
文成,county,0.0658,0.0576,0.0024743686063317233,15.673599999999995,0.40406970627819905,True
泰顺,county,0.0659,0.0593,0.0015568397476940269,6.2048000000000005,0.9760983832160205,True
嘉兴,city,0.0673,0.0569,0.0028768472326489635,21.187199999999994,0.1309540925002336,True
海宁,county,0.0661,0.0602,0.0019381047443314306,9.616000000000007,0.8431744718523999,True
平湖,county,0.0661,0.0568,0.0025275976736814742,16.355200000000004,0.358845629415133,True
桐乡,county,0.0658,0.0583,0.0019627786426390527,9.8624,0.8283048689909966,True
嘉善,county,0.0671,0.0596,0.0018741664813991317,8.992000000000013,0.8779353752967862,True
海盐,county,0.065,0.0586,0.0018299590159345101,8.5728,0.898775046201057,True
湖州,city,0.07,0.0589,0.00308099010060078,24.300800000000024,0.060158289775988805,True
德清,county,0.0687,0.0564,0.0030643106892089124,24.038399999999996,0.06444425123014075,True
长兴,county,0.0678,0.0593,0.0024786589115890875,15.728000000000002,0.4003556687930512,True
安吉,county,0.0654,0.0588,0.00198336834702987,10.070399999999996,0.8152883386572038,True
绍兴,city,0.0663,0.06,0.0016781686446838404,7.2096,0.9515702550643389,True
诸暨,county,0.0671,0.0581,0.002366960075708926,14.342400000000021,0.49973522880531784,True
嵊州,county,0.0676,0.0573,0.002549019419306177,16.633599999999987,0.3412352942840726,True
新昌,county,0.0669,0.0567,0.0028160255680657444,20.3008,0.1606947811987357,True
金华,city,0.0662,0.0577,0.002138340478034308,11.705599999999997,0.7011622738307313,True
兰溪,county,0.0676,0.0597,0.0022918333272731665,13.446399999999983,0.5678598613069752,True
义乌,county,0.0662,0.0578,0.002356374333589636,14.214400000000008,0.5093346534476693,True
东阳,county,0.065,0.0586,0.001701469952717356,7.411199999999996,0.9452193021871688,True
永康,county,0.0658,0.0592,0.001557241150239743,6.208,0.9760379816719492,True
武义,county,0.0663,0.057,0.0021897488440458177,12.275199999999987,0.6580903964003194,True
浦江,county,0.0669,0.0573,0.002499249887466238,15.990399999999998,0.3826899731406723,True
磐安,county,0.0654,0.0576,0.0022237355957937088,12.659200000000004,0.6286025522635647,True
衢州,city,0.0682,0.0584,0.002233271143412729,12.768,0.6202121091406962,True
江山,county,0.0669,0.0603,0.0017535677916750195,7.8720000000000026,0.9288117081261132,True
常山,county,0.0659,0.0589,0.00198620240660412,10.099199999999986,0.8134539770593119,True
开化,county,0.0661,0.0581,0.002187178547809941,12.246400000000015,0.6602908257742048,True
龙游,county,0.0666,0.0563,0.0025990382836734048,17.292800000000017,0.3016642489262955,True
舟山,city,0.067,0.0567,0.0026652861009655226,18.1856,0.25303378972943014,True
岱山,county,0.0654,0.0596,0.0016867127793432992,7.283199999999992,0.9493093488149242,True
嵊泗,county,0.0668,0.0596,0.0017638735782362633,7.964800000000003,0.9251861513529567,True
台州,city,0.0667,0.0602,0.0017485708450045707,7.827200000000003,0.9305233395507336,True
温岭,county,0.0675,0.0571,0.0028104714906933333,20.220800000000008,0.16362516904084234,True
临海,county,0.0675,0.0556,0.0026540064054180433,18.031999999999996,0.26098696183173287,True
玉环,county,0.0674,0.0568,0.0021201415047114192,11.507199999999994,0.7158816132230975,True
三门,county,0.0687,0.0581,0.003015169978624753,23.2736,0.07850107364068604,True
天台,county,0.0664,0.0571,0.002448213634469019,15.344000000000005,0.4269338159118128,True
仙居,county,0.0653,0.0586,0.0019189841062395483,9.4272,0.8541429122881776,True
丽水,city,0.0696,0.0579,0.0032967787308219518,27.824000000000005,0.022697056140788985,False
龙泉,county,0.0668,0.0543,0.0029347061181658383,22.048000000000002,0.10655146213768718,True
青田,county,0.0664,0.0571,0.0028271009886454367,20.460799999999992,0.15495925021775314,True
缙云,county,0.0675,0.0596,0.0019732587260671126,9.968,0.8217479628301648,True
遂昌,county,0.0665,0.0588,0.0018128016990283306,8.4128,0.9061693249157149,True
松阳,county,0.0657,0.0596,0.0019193097717669233,9.430400000000002,0.853960177581617,True
云和,county,0.0682,0.0586,0.003125299985601383,25.004800000000017,0.049879007452180435,False
庆元,county,0.0668,0.0586,0.0024261595166023206,15.068800000000017,0.44647285488906574,True
景宁,county,0.0661,0.0553,0.0027440845468024487,19.276800000000016,0.20146358329821057,True
